game_date,year,season,points_id,player_id,win_points,match_id,location_name,nickname,strike_count,spare_count,gutter_1_count,gutter_2_count,split_count,game_time,total_throws,strike_percentage,spare_percentage
2021-12-01,2021,2021/2022,11220211110,1,150,1,Bowbar,Pichy,2,4,0,1,0,19,10,0.2000,0.5000
2021-12-01,2021,2021/2022,11220211210,2,132,1,Bowbar,Helcl,4,2,0,2,0,19,11,0.3636,0.2857
2021-12-01,2021,2021/2022,11220211310,3,144,1,Bowbar,Vrbic,4,0,0,1,0,19,10,0.4000,0.0000
2021-12-01,2021,2021/2022,11220211410,4,144,1,Bowbar,Spinda,3,3,0,2,0,19,10,0.3000,0.4286
2021-12-01,2021,2021/2022,11220212110,1,107,2,Bowbar,Pichy,0,0,0,2,0,23,11,0.0000,0.0000
2021-12-01,2021,2021/2022,11220212210,2,148,2,Bowbar,Helcl,2,3,0,3,0,23,10,0.2000,0.3750
2021-12-01,2021,2021/2022,11220212310,3,174,2,Bowbar,Vrbic,2,6,0,2,0,23,11,0.1818,0.6667
2021-12-01,2021,2021/2022,11220212410,4,147,2,Bowbar,Spinda,2,4,0,2,0,23,11,0.1818,0.4444
2021-12-08,2021,2021/2022,81220213110,1,164,3,Bowbar,Pichy,3,3,0,2,0,24,11,0.2727,0.3750
2021-12-08,2021,2021/2022,81220213210,2,199,3,Bowbar,Helcl,5,4,0,0,0,24,11,0.4545,0.6667
2021-12-08,2021,2021/2022,81220213310,3,146,3,Bowbar,Vrbic,0,7,0,2,0,24,11,0.0000,0.6364
2021-12-08,2021,2021/2022,81220213410,4,155,3,Bowbar,Spinda,2,5,0,2,0,24,11,0.1818,0.5556
2021-12-08,2021,2021/2022,81220214110,1,178,4,Bowbar,Pichy,4,4,0,1,0,24,11,0.3636,0.5714
2021-12-08,2021,2021/2022,81220214210,2,184,4,Bowbar,Helcl,3,5,0,1,0,24,11,0.2727,0.6250
2021-12-08,2021,2021/2022,81220214310,3,137,4,Bowbar,Vrbic,2,4,0,3,0,24,10,0.2000,0.5000
2021-12-08,2021,2021/2022,81220214410,4,160,4,Bowbar,Spinda,2,6,0,1,0,24,11,0.1818,0.6667
2021-12-08,2021,2021/2022,81220215110,1,156,5,Bowbar,Pichy,5,1,0,3,0,25,11,0.4545,0.1667
2021-12-08,2021,2021/2022,81220215210,2,160,5,Bowbar,Helcl,3,5,0,1,0,25,11,0.2727,0.6250
2021-12-08,2021,2021/2022,81220215310,3,126,5,Bowbar,Vrbic,1,4,0,3,0,25,11,0.0909,0.4000
